"filename", "language", "JavaScript", "JSON with Comments", "CSS", "JSON", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\Voltage\Documents\Projetos\Planup\planup\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 14, 37
"c:\Users\Voltage\Documents\Projetos\Planup\planup\eslint.config.mjs", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\Voltage\Documents\Projetos\Planup\planup\jsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Voltage\Documents\Projetos\Planup\planup\next.config.mjs", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 1, 8
"c:\Users\Voltage\Documents\Projetos\Planup\planup\package-lock.json", "JSON", 0, 0, 0, 4862, 0, 0, 0, 1, 4863
"c:\Users\Voltage\Documents\Projetos\Planup\planup\package.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 1, 28
"c:\Users\Voltage\Documents\Projetos\Planup\planup\postcss.config.mjs", "JavaScript", 6, 0, 0, 0, 0, 0, 1, 2, 9
"c:\Users\Voltage\Documents\Projetos\Planup\planup\public\U.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\Voltage\Documents\Projetos\Planup\planup\public\file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Voltage\Documents\Projetos\Planup\planup\public\globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Voltage\Documents\Projetos\Planup\planup\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Voltage\Documents\Projetos\Planup\planup\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Voltage\Documents\Projetos\Planup\planup\public\window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\app\access\page.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 9, 108
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\app\dashboard\layout.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\app\dashboard\page.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\app\dashboard\products\[id]\page.js", "JavaScript", 138, 0, 0, 0, 0, 0, 0, 19, 157
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\app\dashboard\products\layout.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\app\dashboard\products\page.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\app\dashboard\profile\page.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\app\dashboard\upload\page.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\app\globals.css", "CSS", 0, 0, 3, 0, 0, 0, 17, 2, 22
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\app\layout.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 6, 34
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\app\page.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\components\AccountBtn.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 6, 58
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\components\AccountList.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 9, 60
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\components\AccountModal.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 8, 68
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\components\AuthStatus.js", "JavaScript", 36, 0, 0, 0, 0, 0, 5, 2, 43
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\components\EditModal.js", "JavaScript", 114, 0, 0, 0, 0, 0, 36, 20, 170
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\components\LaunchModal.js", "JavaScript", 170, 0, 0, 0, 0, 0, 7, 30, 207
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\components\NavBar.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 6, 80
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\components\OnDev.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\components\Product.js", "JavaScript", 90, 0, 0, 0, 0, 0, 0, 10, 100
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\components\ProductList.js", "JavaScript", 126, 0, 0, 0, 0, 0, 0, 13, 139
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\components\StylezedBtn.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\components\SuspenseWrapper.js", "JavaScript", 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\context\AuthContext.js", "JavaScript", 105, 0, 0, 0, 0, 0, 1, 13, 119
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\libs\blingApi.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\service\authService.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\service\depositoService.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\service\estoqueService.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\service\productService.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 4, 37
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\service\userService.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\utils\base64encoder.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\utils\requestQueue.js", "JavaScript", 46, 0, 0, 0, 0, 0, 0, 13, 59
"c:\Users\Voltage\Documents\Projetos\Planup\planup\src\utils\truncateText.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Voltage\Documents\Projetos\Planup\planup\tailwind.config.mjs", "JavaScript", 16, 0, 0, 0, 0, 0, 1, 1, 18
"Total", "-", 1502, 7, 3, 4889, 23, 8, 69, 230, 6731